,FACILITY_NAME,FAC_FDR,DISTRICT_OFFICE,PENALTY_ISSUE_DATE,PENALTY_NUMBER,DISPOSITION,PENALTY_DETAIL,PENALTY_CATEGORY,APPEALED,CLASS_ASSESSED_INITIAL,CLASS_ASSESSED_FINAL,TOTAL_AMOUNT_INITIAL,TOTAL_AMOUNT_DUE_FINAL
286,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2014-07-18,30010864,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,800.0,800.0
287,"SUTTER MEDICAL CENTER, SACRAMENTO",GENERAL ACUTE CARE HOSPITAL,Sacramento,2014-08-07,30010922,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,800.0,800.0
288,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2014-08-21,30010952,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,500.0,500.0
289,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2014-08-28,30010967,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2400.0,2400.0
290,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-08,30011021,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,3800.0,3800.0
291,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-04-20,30011406,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,400.0,400.0
292,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-04-20,30011408,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE03 - Wrong surgical procedure performed on a patient,No,FTR AE,,2500.0,2500.0
293,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-04-22,30011415,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,100.0,100.0
294,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-04,30011432,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE12 - Medication error,No,FTR AE,,200.0,200.0
295,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-06,30011433,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE19 - Death/disability due to electric shock,No,FTR AE,,300.0,300.0
296,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-04,30011434,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,200.0,200.0
297,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-11,30011461,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,600.0,600.0
298,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-11,30011462,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE12 - Medication error,No,FTR AE,,400.0,400.0
299,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-11,30011463,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE08 - Death/disability due to intravascular air embolism,No,FTR AE,,400.0,400.0
300,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-05-11,30011464,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE03 - Wrong surgical procedure performed on a patient,No,FTR AE,,300.0,300.0
301,SAN JOAQUIN GENERAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-02,30011510,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,No,AP IJ,,75000.0,75000.0
302,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-08,30011530,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1900.0,1900.0
303,ADVENTIST HEALTH SONORA,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-08,30011535,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,300.0,300.0
304,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-08,30011539,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,900.0,900.0
305,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-08,30011540,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,600.0,600.0
306,KAISER FOUNDATION HOSPITAL MANTECA,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-06-16,30011564,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
307,KAISER FOUNDATION HOSPITAL - HOSPICE,HOSPICE,Sacramento,2015-06-19,30011574,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach of IT system theft/loss of edevice/med rec,No,FTR RES,,400.0,400.0
308,KAISER FOUNDATION HOSPITAL - HOSPICE,HOSPICE,Sacramento,2015-06-26,30011584,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,400.0,400.0
309,KAISER FOUNDATION HOSPITAL - HOSPICE,HOSPICE,Sacramento,2015-06-26,30011585,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,700.0,700.0
310,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-03,30011649,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
311,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-03,30011650,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,13300.0,13300.0
312,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-03,30011651,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,12800.0,12800.0
313,KAISER FOUNDATION HOSPITAL MODESTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-10,30011652,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,4300.0,4300.0
314,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-11,30011663,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,100.0,100.0
315,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-17,30011670,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,600.0,600.0
316,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-17,30011671,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,700.0,700.0
317,MARK TWAIN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-08-17,30011672,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,4500.0,4500.0
318,"MAXIM HEALTHCARE SERVICES, INC.",HOME HEALTH AGENCY,Sacramento,2015-08-25,30011689,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
319,KAISER FOUNDATION HOSPITAL - HOSPICE,HOSPICE,Sacramento,2015-09-28,30011749,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,8200.0,8200.0
320,KAISER FOUNDATION HOSPITAL - HOSPICE,HOSPICE,Sacramento,2015-09-28,30011750,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,8200.0,8200.0
321,"MAXIM HEALTHCARE SERVICES, INC.",HOME HEALTH AGENCY,Sacramento,2015-09-28,30011751,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
322,"MAXIM HEALTHCARE SERVICES, INC.",HOME HEALTH AGENCY,Sacramento,2015-09-28,30011752,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,100.0,100.0
323,SUTTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-09-28,30011754,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,1400.0,1400.0
324,SUTTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-10-22,30011790,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
325,SUTTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-10-23,30011796,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
326,SUTTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-10-30,30011811,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,6500.0,6500.0
327,SUTTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-11-05,30011833,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
328,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-11-16,30011847,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE03 - Wrong surgical procedure performed on a patient,No,FTR AE,,100.0,100.0
329,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-07,30011880,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,500.0,500.0
330,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-07,30011881,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,1900.0,1900.0
331,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-07,30011882,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,900.0,900.0
332,SAN JOAQUIN GENERAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-10,30011888,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,10100.0,10100.0
333,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-10,30011889,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,700.0,700.0
334,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-10,30011890,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach by h/c worker within facility/hc system,No,FTR RES,,700.0,700.0
335,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-14,30011893,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Deliberate breach of PHI by health care worker,No,FTR BR,,900.0,900.0
336,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-14,30011894,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Deliberate breach of PHI by health care worker,No,FTR RES,,800.0,800.0
337,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-14,30011895,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach by h/c worker within facility/hc system,No,FTR RES,,300.0,300.0
338,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2015-12-17,30011901,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach by h/c worker within facility/hc system,No,FTR RES,,900.0,900.0
339,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-01-14,30011960,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,700.0,700.0
340,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-01-14,30011962,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Deliberate breach by person other than a h/c worker,No,FTR RES,,300.0,300.0
341,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-28,30012001,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Deliberate breach of PHI by health care worker,No,FTR RES,,3300.0,3300.0
342,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-01,30012003,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Deliberate breach of PHI by health care worker,No,FTR BR,,700.0,700.0
343,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-05,30012015,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,2200.0,2200.0
344,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-05,30012016,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,2200.0,2200.0
345,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-09,30012024,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
346,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-09,30012026,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,100.0,100.0
347,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-12,30012032,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,800.0,800.0
348,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-02-24,30012043,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,200.0,200.0
349,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-04-04,30012160,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,100.0,100.0
350,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-04-05,30012163,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,2600.0,2600.0
351,ONE COMMUNITY HEALTH,PRIMARY CARE CLINIC,Sacramento,2016-04-07,30012171,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
352,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-03,30012224,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,4700.0,4700.0
353,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-04,30012225,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,3500.0,3500.0
354,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-24,30012270,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,2100.0,2100.0
355,KAISER FOUNDATION HOSPITAL - ROSEVILLE,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-24,30012271,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach by h/c worker within facility/hc system,No,FTR RES,,2000.0,2000.0
356,KAISER FOUNDATION HOSPITAL MANTECA,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-24,30012272,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,200.0,200.0
357,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-05-31,30012301,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,200.0,200.0
358,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-01,30012303,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
359,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-01,30012304,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,100.0,100.0
360,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-09,30012319,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,900.0,900.0
361,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-09,30012320,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,1000.0,1000.0
362,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-28,30012358,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,3100.0,3100.0
363,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-28,30012363,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,200.0,200.0
364,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-28,30012364,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,200.0,200.0
365,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-29,30012370,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
366,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-06-29,30012371,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,100.0,100.0
367,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-08-16,30012506,Open,AP - Immediate Jeopardy (HSC 1280.3),AE04 - Retention of a foreign object in a patient,Yes,AP IJ,,50000.0,50000.0
368,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-08-23,30012520,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,500.0,500.0
369,MARSHALL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-08-23,30012521,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,100.0,100.0
370,ADVENTIST HEALTH SONORA,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-08-29,30012546,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,100.0,100.0
371,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-08-30,30012549,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,200.0,200.0
372,SUTTER DAVIS HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-09-15,30012579,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,22900.0,22900.0
373,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-07,30012635,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,1400.0,1400.0
374,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-07,30012636,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,200.0,200.0
375,DAMERON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-25,30012684,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,2100.0,2100.0
376,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-26,30012688,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE28 - Adverse event or series of adverse events,No,FTR AE,,700.0,700.0
377,KAISER FOUNDATION HOSPITAL - SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-26,30012689,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,300.0,300.0
378,MERCY GENERAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-27,30012690,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,800.0,800.0
379,MERCY GENERAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-27,30012693,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,700.0,700.0
380,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-28,30012697,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,500.0,500.0
381,MERCY SAN JUAN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-28,30012698,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
382,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012701,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,300.0,300.0
383,"SUTTER MEDICAL CENTER, SACRAMENTO",GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012703,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,600.0,600.0
384,"SUTTER MEDICAL CENTER, SACRAMENTO",GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012704,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,2000.0,2000.0
385,"SUTTER MEDICAL CENTER, SACRAMENTO",GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012708,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,1200.0,1200.0
386,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012709,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE22 - Death associated with a fall,No,FTR AE,,200.0,200.0
387,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-10-31,30012711,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,500.0,500.0
388,SUTTER ROSEVILLE MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-11-04,30012725,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,400.0,400.0
389,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,Sacramento,2016-11-04,30012726,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,400.0,400.0
